time,open,high,low,close,tick_volume,spread,real_volume
2025-03-18 05:00:00+00:00,3005.76,3006.61,3002.65,3006.23,3052,10,0
2025-03-18 05:15:00+00:00,3005.86,3007.79,3005.6,3006.96,1787,10,0
2025-03-18 05:30:00+00:00,3006.95,3007.98,3006.1,3007.04,1907,10,0
2025-03-18 05:45:00+00:00,3007.03,3012.35,3006.98,3010.79,2501,10,0
2025-03-18 06:00:00+00:00,3010.73,3013.63,3009.78,3013.2,2467,10,0
2025-03-18 06:15:00+00:00,3013.23,3015.2,3010.61,3012.72,3227,10,0
2025-03-18 06:30:00+00:00,3012.75,3012.95,3010.07,3010.73,2144,10,0
2025-03-18 06:45:00+00:00,3010.74,3012.62,3010.44,3011.55,1557,10,0
2025-03-18 07:00:00+00:00,3011.57,3012.49,3011.13,3012.11,954,10,0
2025-03-18 07:15:00+00:00,3012.1,3013.85,3011.31,3013.78,1301,10,0
2025-03-18 07:30:00+00:00,3013.77,3015.15,3012.88,3013.85,1913,10,0
2025-03-18 07:45:00+00:00,3013.85,3017.24,3013.63,3014.46,2236,10,0
2025-03-18 08:00:00+00:00,3014.42,3015.02,3011.35,3011.75,2096,10,0
2025-03-18 08:15:00+00:00,3011.74,3012.07,3005.87,3007.34,3008,10,0
2025-03-18 08:30:00+00:00,3007.64,3013.75,3007.11,3013.56,2965,10,0
2025-03-18 08:45:00+00:00,3013.58,3014.31,3011.49,3012.19,2537,10,0
2025-03-18 09:00:00+00:00,3012.15,3017.38,3011.17,3015.19,3100,10,0
2025-03-18 09:15:00+00:00,3015.18,3016.3,3010.54,3012.05,3217,10,0
2025-03-18 09:30:00+00:00,3012.06,3013.92,3011.67,3013.81,1718,8,0
2025-03-18 09:45:00+00:00,3013.81,3017.84,3013.41,3015.91,3461,8,0
2025-03-18 10:00:00+00:00,3015.89,3018.82,3014.36,3018.06,3024,8,0
2025-03-18 10:15:00+00:00,3018.06,3019.02,3014.72,3017.0,3069,8,0
2025-03-18 10:30:00+00:00,3017.0,3018.6,3016.16,3017.84,2410,8,0
