time,open,high,low,close,tick_volume,spread,real_volume
2025-02-25 23:00:00+00:00,2912.16,2913.4,2910.88,2912.78,4007,6,0
2025-02-26 00:00:00+00:00,2912.82,2917.37,2912.69,2914.82,2357,6,0
2025-02-26 02:00:00+00:00,2915.14,2919.0,2913.61,2918.69,1919,5,0
2025-02-26 03:00:00+00:00,2918.85,2925.97,2918.67,2923.52,2573,5,0
2025-02-26 04:00:00+00:00,2923.53,2930.08,2915.27,2917.68,4355,6,0
2025-02-26 05:00:00+00:00,2917.7,2923.14,2914.8,2921.07,3732,5,0
2025-02-26 06:00:00+00:00,2921.05,2921.72,2916.56,2917.28,2036,9,0
2025-02-26 07:00:00+00:00,2917.14,2918.77,2912.68,2915.02,1989,8,0
2025-02-26 08:00:00+00:00,2915.02,2921.02,2914.86,2915.41,2924,6,0
2025-02-26 09:00:00+00:00,2915.38,2916.23,2906.58,2906.62,3148,5,0
2025-02-26 10:00:00+00:00,2906.58,2917.42,2905.8,2915.35,3762,5,0
2025-02-26 11:00:00+00:00,2915.06,2918.41,2909.48,2918.0,3993,5,0
2025-02-26 12:00:00+00:00,2917.94,2918.9,2912.31,2913.26,3493,7,0
2025-02-26 13:00:00+00:00,2913.61,2916.86,2911.08,2912.71,3482,15,0
2025-02-26 14:00:00+00:00,2912.7,2915.38,2912.06,2913.76,2741,6,0
2025-02-26 15:00:00+00:00,2913.73,2915.42,2910.04,2913.86,3421,10,0
2025-02-26 16:00:00+00:00,2914.14,2915.08,2905.49,2905.85,4948,9,0
2025-02-26 17:00:00+00:00,2905.86,2906.19,2890.77,2901.09,6089,5,0
2025-02-26 18:00:00+00:00,2901.13,2914.26,2898.5,2913.61,5473,5,0
2025-02-26 19:00:00+00:00,2913.65,2916.62,2909.98,2913.11,4858,6,0
2025-02-26 20:00:00+00:00,2913.08,2916.31,2910.33,2913.74,4517,7,0
2025-02-26 21:00:00+00:00,2913.58,2916.26,2912.36,2914.92,3948,5,0
2025-02-26 22:00:00+00:00,2914.85,2916.34,2913.33,2913.88,2765,11,0
2025-02-26 23:00:00+00:00,2913.89,2916.74,2912.05,2916.3,3184,14,0
2025-02-27 00:00:00+00:00,2916.32,2918.77,2915.85,2916.11,1835,10,0
2025-02-27 02:00:00+00:00,2916.79,2920.76,2915.57,2919.14,1161,5,0
2025-02-27 03:00:00+00:00,2919.12,2919.14,2915.93,2917.1,1568,13,0
2025-02-27 04:00:00+00:00,2917.16,2918.27,2911.11,2912.66,4329,5,0
2025-02-27 05:00:00+00:00,2912.67,2914.8,2904.39,2906.75,3832,10,0
2025-02-27 06:00:00+00:00,2906.85,2909.01,2905.27,2905.7,3067,12,0
2025-02-27 07:00:00+00:00,2905.58,2906.53,2896.32,2897.37,3184,5,0
2025-02-27 08:00:00+00:00,2897.44,2898.45,2888.61,2890.99,4663,5,0
2025-02-27 09:00:00+00:00,2891.0,2898.45,2890.82,2894.18,4344,5,0
2025-02-27 10:00:00+00:00,2894.13,2896.7,2887.91,2891.85,4258,5,0
2025-02-27 11:00:00+00:00,2891.83,2892.2,2880.67,2881.3,4909,5,0
2025-02-27 12:00:00+00:00,2881.45,2893.4,2877.1,2887.34,4312,5,0
2025-02-27 13:00:00+00:00,2887.25,2894.88,2886.79,2892.21,3578,5,0
2025-02-27 14:00:00+00:00,2892.18,2894.86,2883.42,2883.9,3995,5,0
2025-02-27 15:00:00+00:00,2883.98,2888.73,2883.12,2885.0,4268,5,0
2025-02-27 16:00:00+00:00,2885.02,2892.16,2881.13,2888.97,5576,5,0
2025-02-27 17:00:00+00:00,2888.71,2892.31,2867.79,2872.19,6025,5,0
2025-02-27 18:00:00+00:00,2872.63,2882.46,2870.37,2872.26,5972,5,0
2025-02-27 19:00:00+00:00,2872.34,2878.17,2871.85,2877.37,5084,5,0
2025-02-27 20:00:00+00:00,2877.82,2883.78,2876.16,2883.23,4778,7,0
2025-02-27 21:00:00+00:00,2883.22,2887.43,2882.82,2887.42,3774,5,0
2025-02-27 22:00:00+00:00,2887.5,2887.73,2877.25,2879.17,4038,5,0
2025-02-27 23:00:00+00:00,2879.29,2879.3,2872.78,2873.97,4984,8,0
2025-02-28 00:00:00+00:00,2873.91,2877.88,2871.3,2877.12,1745,5,0
2025-02-28 02:00:00+00:00,2877.11,2878.43,2874.56,2876.06,1376,5,0
2025-02-28 03:00:00+00:00,2876.04,2880.28,2875.08,2877.05,2548,5,0
2025-02-28 04:00:00+00:00,2877.11,2885.05,2873.91,2874.82,5348,5,0
2025-02-28 05:00:00+00:00,2874.68,2877.88,2870.44,2873.36,5144,9,0
2025-02-28 06:00:00+00:00,2873.39,2876.26,2863.74,2865.75,4564,5,0
2025-02-28 07:00:00+00:00,2865.71,2866.06,2856.98,2863.54,4382,5,0
2025-02-28 08:00:00+00:00,2863.36,2867.0,2861.83,2864.01,4283,10,0
2025-02-28 09:00:00+00:00,2864.24,2866.66,2861.94,2863.58,4792,11,0
2025-02-28 10:00:00+00:00,2863.57,2865.16,2857.23,2858.68,4359,5,0
2025-02-28 11:00:00+00:00,2858.63,2860.33,2851.05,2855.93,4614,12,0
2025-02-28 12:00:00+00:00,2855.95,2864.24,2855.87,2862.4,4551,5,0
2025-02-28 13:00:00+00:00,2862.38,2864.92,2860.7,2862.78,3448,5,0
2025-02-28 14:00:00+00:00,2862.77,2863.67,2859.08,2862.19,3542,13,0
2025-02-28 15:00:00+00:00,2862.27,2864.93,2854.38,2856.17,4423,6,0
2025-02-28 16:00:00+00:00,2856.25,2862.32,2848.31,2848.58,5682,5,0
2025-02-28 17:00:00+00:00,2848.68,2851.61,2833.36,2833.79,6302,5,0
2025-02-28 18:00:00+00:00,2833.45,2850.67,2832.57,2850.16,6242,5,0
2025-02-28 19:00:00+00:00,2850.62,2853.94,2846.42,2848.66,5275,5,0
2025-02-28 20:00:00+00:00,2848.62,2851.46,2844.5,2845.09,4523,5,0
2025-02-28 21:00:00+00:00,2845.03,2847.71,2838.02,2845.3,5007,5,0
2025-02-28 22:00:00+00:00,2845.4,2850.95,2844.24,2849.68,4127,9,0
2025-02-28 23:00:00+00:00,2849.48,2854.99,2847.81,2854.83,4535,5,0
2025-03-01 00:00:00+00:00,2854.88,2859.28,2853.37,2859.06,1888,15,0
2025-03-03 02:00:00+00:00,2857.88,2876.88,2857.88,2870.81,3989,0,0
2025-03-03 03:00:00+00:00,2871.17,2871.17,2865.37,2865.82,3124,5,0
2025-03-03 04:00:00+00:00,2865.79,2871.92,2864.14,2870.85,4587,5,0
2025-03-03 05:00:00+00:00,2870.85,2871.95,2867.89,2868.27,4105,8,0
2025-03-03 06:00:00+00:00,2867.99,2868.05,2859.3,2864.82,4483,6,0
2025-03-03 07:00:00+00:00,2864.85,2868.43,2863.1,2867.41,2521,12,0
2025-03-03 08:00:00+00:00,2867.26,2867.31,2861.34,2863.83,3471,9,0
2025-03-03 09:00:00+00:00,2863.72,2866.05,2861.82,2865.59,4013,5,0
2025-03-03 10:00:00+00:00,2865.91,2866.24,2860.11,2863.33,3822,5,0
2025-03-03 11:00:00+00:00,2863.48,2868.77,2858.83,2868.56,4801,5,0
2025-03-03 12:00:00+00:00,2868.72,2871.43,2864.28,2867.45,4467,6,0
2025-03-03 13:00:00+00:00,2867.46,2873.57,2867.24,2871.93,3633,5,0
2025-03-03 14:00:00+00:00,2871.93,2875.43,2871.25,2874.36,2965,7,0
2025-03-03 15:00:00+00:00,2874.24,2877.65,2873.95,2875.63,3521,5,0
2025-03-03 16:00:00+00:00,2875.57,2876.25,2868.72,2872.63,4750,5,0
2025-03-03 17:00:00+00:00,2872.63,2882.97,2871.29,2876.68,4962,5,0
